"Month","Day","Demand"
"August",11,1.26
"August",12,1.48
"August",13,1.63
"August",14,1.19
"August",15,1
"August",16,1.15
"August",17,1.11
"August",18,1.26
"August",19,1.48
"August",20,1.63
"August",21,1.19
"August",22,1
"August",23,1.15
"August",24,1.11
"August",25,1.26
"August",26,1.48
"August",27,1.63
"August",28,1.19
"August",29,1
"August",30,1.15
"August",31,1.11
"September",1,1.26
"September",2,1.48
"September",3,1.63
"September",4,1.19
"September",5,1
"September",6,1.15
"September",7,1.11
"September",8,1.26
"September",9,1.48
"September",10,1.63
"September",11,1.19
"September",12,1
"September",13,1.15
"September",14,1.11
"September",15,3.78
"September",16,4.44
"September",17,1.63
"September",18,1.19
"September",19,1
"September",20,1.15
"September",21,1.11
"September",22,1.26
"September",23,1.48
"September",24,1.63
"September",25,1.19
"September",26,1
"September",27,1.15
"September",28,1.11
"September",29,1.26
"September",30,1.48
"October",1,1.63
"October",2,1.19
"October",3,1
"October",4,1.15
"October",5,1.11
"October",6,1.26
"October",7,1.48
"October",8,1.63
"October",9,1.19
"October",10,1
"October",11,1.15
"October",12,1.11
"October",13,1.26
"October",14,1.48
"October",15,1.63
"October",16,1.19
"October",17,1
"October",18,1.15
"October",19,1.11
"October",20,1.26
"October",21,1.48
"October",22,1.63
"October",23,1.19
"October",24,1
"October",25,1.15
"October",26,1.11
"October",27,1.26
"October",28,1.48
"October",29,1.63
"October",30,1.19
"October",31,1
"November",1,1
"November",2,1.15
"November",3,1.11
"November",4,1.26
"November",5,1.48
"November",6,1.63
"November",7,1.19
"November",8,1
"November",9,1.15
"November",10,1.11
"November",11,1.26
"November",12,1.48
"November",13,1.63
"November",14,1.19
"November",15,1
"November",16,1.15
"November",17,1.11
"November",18,1.26
"November",19,1.48
"November",20,1.63
"November",21,1.19
"November",22,1
"November",23,1.15
"November",24,1.11
"November",25,1.26
"November",26,1.48
"November",27,1.63
"November",28,1.19
"November",29,1
"November",30,1.15
"December",1,1.11
"December",2,1.26
"December",3,1.48
"December",4,1.63
"December",5,1.19
"December",6,1
"December",7,1.15
"December",8,1.11
"December",9,1.26
"December",10,1.48
"December",11,1.63
"December",12,1.19
"December",13,1
"December",14,1.15
"December",15,1.11
"December",16,1.26
"December",17,1.48
"December",18,3.26
"December",19,2.38
"December",20,2
"December",21,2.3
"December",22,2.22
"December",23,2.52
"December",24,2.96
"December",25,3.26
"December",26,2.38
"December",27,2
"December",28,2.3
"December",29,2.22
"December",30,2.52
"December",31,2.96
